title,budget,revenue,roi
A View to a Kill,30000000,152427960,5.08
The Mighty Ducks,10000000,50752337,5.08
Kill Bill: Vol. 2,30000000,152159461,5.07
功夫,20000000,100914445,5.05
Diary of a Wimpy Kid,15000000,75700498,5.05
Midnight in Paris,30000000,151119219,5.04
The Way Way Back,4600000,23198652,5.04
Die Hard,28000000,140767956,5.03
The Net,22000000,110627965,5.03
Tammy,20000000,100525432,5.03
Der Untergang,18339750,92180910,5.03
Avengers: Age of Ultron,280000000,1405403694,5.02
Fast Five,125000000,626137675,5.01
The Longest Day,10000000,50100000,5.01
Resident Evil: Afterlife,60000000,300228084,5.0
Chicken Run,45000000,224834564,5.0
Pet Sematary,11500000,57469467,5.0
"Il buono, il brutto, il cattivo",1200000,6000000,5.0
بچه‌های آسمان,180000,900000,5.0
Shrek the Third,160000000,798958165,4.99
올드보이,3000000,14980005,4.99
Identity Thief,35000000,173965010,4.97
The Help,25000000,124272124,4.97
Race,5000000,24804129,4.96
Ida,2159280,10700000,4.96
My Big Fat Greek Wedding 2,18000000,88923251,4.94
Escape from the Planet of the Apes,2500000,12348905,4.94
Kids,1500000,7412216,4.94
Erin Brockovich,52000000,256271286,4.93
The Matrix Reloaded,150000000,738599701,4.92
The Other Woman,40000000,196781193,4.92
Hide and Seek,25000000,122644820,4.91
Child's Play,9000000,44196684,4.91
Dressed to Kill,6500000,31899000,4.91
Inside Out,175000000,857611174,4.9
Shark Tale,75000000,367275019,4.9
Nanny McPhee,25000000,122489822,4.9
50/50,8000000,39187783,4.9
American Psycho,7000000,34266564,4.9
"Monsters, Inc.",115000000,562816256,4.89
Beetlejuice,15000000,73326666,4.89
Licence to Kill,32000000,156167015,4.88
Kung Fu Panda,130000000,631744560,4.86
Rio 2,103000000,500188435,4.86
Daddy's Home,50000000,242786137,4.86
Groundhog Day,14600000,70906973,4.86
What Happens in Vegas,35000000,170000000,4.86
Bienvenue chez les ch'tis,11000000,53191886,4.84
Star Trek III: The Search for Spock,18000000,87000000,4.83
Miracles from Heaven,16000000,77000000,4.81
21 Jump Street,42000000,201585328,4.8
Last Vegas,28000000,134402450,4.8
How Green Was My Valley,1250000,6000000,4.8
Mission: Impossible - Ghost Protocol,145000000,694713380,4.79
The Angry Birds Movie,73000000,349779543,4.79
Parental Guidance,25000000,119772232,4.79
The Living Daylights,40000000,191185897,4.78
About a Boy,27000000,129000000,4.78
The Unborn,16000000,76514050,4.78
Show Boat,2300000,11000000,4.78
Cast Away,90000000,429632142,4.77
Cheaper by the Dozen,40000000,190212113,4.76
